"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2019,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.215588064791292,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2020,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",417948,"Megawattstunden (MWh)","Bundesamt für Energie"
2020,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.269049705070673,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2020,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1855487,"Megawattstunden (MWh)","Bundesamt für Energie"
2020,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.214004936392051,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2021,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",347424,"Megawattstunden (MWh)","Bundesamt für Energie"
2021,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.222044121989286,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2021,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1752444,"Megawattstunden (MWh)","Bundesamt für Energie"
2021,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.200536206896354,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2022,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",302012,"Megawattstunden (MWh)","Bundesamt für Energie"
2022,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.191150827833746,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2022,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1722783,"Megawattstunden (MWh)","Bundesamt für Energie"
2022,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.195429127599078,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
